Transcript_ID,Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
ENSMUST00000018156.12,Rac3,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000018184.10,Rrp7a,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000018186.16,Cyb5r3,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000018287.10,Mafk,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000018295.14,Pick1,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000018337.9,Cdc73,0,1,1,0,0,1,0,0,0,0,0,0
ENSMUST00000018353.14,Stk4,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000018429.12,Pld2,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000018437.3,Pfn1,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000018470.10,Ywhab,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000018522.13,Cuedc1,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000018561.14,Myo1b,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000018568.4,Drg2,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000018713.13,Cldn7,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000018718.8,Acadvl,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000018737.13,Sparc,0,0,0,0,0,0,1,0,1,0,1,1
ENSMUST00000018795.13,Tada2a,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000018821.9,Slc25a39,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000018851.14,Dync1h1,0,0,0,0,0,1,0,0,0,0,1,0
ENSMUST00000018909.4,Fxr2,0,0,0,0,0,0,1,1,0,0,0,0
ENSMUST00000018914.3,Atp5g3,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000018993.7,Wwc1,0,0,0,0,1,0,0,1,0,0,0,0
ENSMUST00000019043.13,Irf1,0,0,0,0,1,0,0,0,0,0,1,0
ENSMUST00000019076.10,Map2k3,0,0,0,1,0,0,0,0,0,0,2,1
ENSMUST00000019109.8,Ywhah,0,0,1,0,0,0,0,0,1,0,0,1
ENSMUST00000019118.8,Sart3,1,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000019128.15,Hnrnpd,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000019276.12,BC005537,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000019283.10,Isyna1,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000019323.11,Mdh2,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000019382.17,Tecr,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000019506.9,D8Ertd738e,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000019514.10,Calm3,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000019615.11,Cdc37,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000019638.15,Cops6,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000019649.4,Ubb,1,1,0,1,1,1,1,1,2,0,1,1
ENSMUST00000019721.7,Pdk4,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUST00000019722.12,Ubxn6,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000019843.15,Akt3,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000019911.14,Hdac2,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000019927.7,Trmt11,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000019929.13,Katna1,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000019937.5,Sec63,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000019986.13,Rev3l,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000019992.6,Lama4,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000019998.9,Perp,0,0,0,0,0,0,1,0,0,0,0,1
ENSMUST00000020027.11,Serinc1,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000020034.6,Echdc1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020118.5,Dusp6,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000020145.12,Sgk1,0,1,0,0,0,0,0,0,1,1,0,0
ENSMUST00000020159.15,Med23,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000020203.7,Snrpf,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000020208.5,Fgd6,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000020234.14,Timp3,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000020238.14,Hsp90b1,0,0,1,0,0,0,1,1,2,0,0,1
ENSMUST00000020270.6,Ddx50,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000020273.16,Supv3l1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000020289.10,Pald1,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUST00000020315.13,Cand1,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000020317.8,Pno1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000020381.5,Frs2,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000020397.11,Snrpd3,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000020411.14,Osbpl5,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000020420.9,Ap3d1,0,0,0,1,1,0,0,0,0,0,0,1
