Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
C1qbp,0,0,0,0,0,0,0,0,0,1,0,0
C1qtnf6,0,0,0,0,0,0,0,0,0,0,0,1
C3,1,0,0,4,1,0,0,0,0,0,0,0
C4b,0,0,0,0,0,0,0,0,1,0,0,0
Cacna1c,0,0,0,0,0,0,0,0,1,0,0,0
Cacna1d,0,0,0,0,0,0,0,0,1,0,0,0
Cacna1e,0,0,0,0,0,0,0,0,0,1,0,0
Cad,0,0,0,0,0,0,0,0,1,0,0,0
Cadps2,0,1,0,0,0,0,0,0,0,0,0,0
Cald1,0,0,0,0,0,0,0,1,1,0,1,0
Calm1,0,1,0,0,0,0,0,0,0,0,0,0
Calm2,0,0,1,0,0,0,2,2,0,0,0,2
Calm3,0,0,0,0,0,0,0,0,0,0,1,0
Calr,1,0,0,0,0,0,0,0,0,0,0,0
Camk2d,0,0,1,0,0,0,0,0,0,0,0,0
Camsap1,0,0,0,0,0,0,0,0,0,1,0,0
Camta1,0,0,1,0,0,0,0,0,0,0,0,0
Cand1,0,0,0,1,0,0,0,0,0,0,0,0
Capn15,0,0,0,0,0,0,0,0,0,0,0,1
Capn2,0,0,0,0,0,0,0,0,0,0,1,0
Capn7,0,0,0,0,0,0,1,0,0,0,0,0
Capns1,1,0,0,0,0,0,0,0,0,0,0,0
Caprin1,0,0,0,0,0,1,0,1,0,0,1,0
Capza1,1,0,0,0,0,0,0,0,0,0,0,0
Capza2,0,0,0,0,0,0,1,0,0,0,0,0
Capzb,0,0,0,0,0,0,0,0,1,0,0,0
Car2,0,1,0,0,0,0,0,0,0,0,0,0
Carm1,0,0,0,0,0,0,0,0,0,1,0,0
Caskin2,0,0,0,0,0,0,0,0,1,0,0,0
Casp1,0,0,0,0,1,0,0,0,0,0,0,0
Casp12,0,0,0,1,0,0,0,0,0,0,1,0
Casp2,0,0,0,0,0,0,0,1,0,0,0,0
Casp8,0,0,0,0,0,0,1,0,0,0,0,0
Casp8ap2,0,0,0,0,0,0,0,0,0,0,0,1
Cast,0,1,0,0,0,0,0,0,0,0,0,0
Cav1,0,0,0,0,0,0,0,0,0,0,0,1
Cavin1,0,0,0,0,0,0,0,0,1,0,0,1
Cavin2,0,0,0,0,0,0,0,0,0,0,1,0
Cblb,0,0,0,0,1,0,0,0,0,0,0,0
Cblc,0,0,0,1,0,0,0,0,0,0,0,0
Cbr2,0,0,0,1,0,0,0,0,0,0,0,0
Cbx8,0,0,0,0,0,0,0,1,0,0,0,0
Cc2d1b,0,0,0,0,0,0,1,0,0,0,0,0
Ccdc166,1,0,0,0,0,0,0,0,0,0,0,0
Ccdc47,0,0,1,0,0,0,0,0,0,0,0,0
Ccdc50,0,0,0,0,0,0,0,0,0,0,0,1
Ccdc88b,1,0,0,0,0,0,0,0,0,0,0,0
Ccdc93,0,1,0,0,0,0,0,0,0,0,0,1
Ccn1,0,0,0,3,0,0,1,0,0,0,0,1
Ccn2,0,0,0,0,0,0,0,0,0,1,0,0
Ccnd1,0,0,0,0,0,0,0,0,0,1,0,0
Ccnh,0,0,0,1,0,0,0,0,0,0,0,0
Ccni,0,0,1,0,0,0,0,0,0,0,0,0
Ccnl1,0,0,0,0,0,1,0,0,0,0,0,0
Ccnl2,1,0,0,0,0,0,0,1,0,1,0,0
Ccnyl1,0,0,0,0,0,0,0,1,0,0,0,0
Ccpg1,0,0,0,0,0,0,0,1,0,0,0,0
Cct2,0,0,1,0,0,0,1,0,0,0,1,1
Cct3,0,1,0,0,0,0,0,0,1,0,0,0
Cct4,0,0,0,0,0,0,1,0,0,0,0,0
Cct5,0,1,0,2,1,0,0,0,0,0,0,0
Cct6a,0,1,0,0,0,1,1,0,1,0,0,0
Cct7,1,1,1,0,1,0,1,0,0,0,0,0
Cct8,0,0,0,0,0,0,0,0,1,1,0,0
Cd200,0,0,0,0,0,0,0,0,0,0,0,1
Cd24a,0,0,0,0,1,0,0,0,0,0,0,0
Cd2ap,0,0,0,0,0,0,0,1,0,0,0,0
Cd36,0,0,0,1,1,2,0,1,0,0,0,0
Cd59a,0,0,0,0,0,0,0,0,1,0,0,0
Cd74,0,0,0,0,0,0,0,0,2,0,0,0
Cd9,3,1,0,1,0,0,0,0,0,0,0,0
Cdc14b,0,1,0,0,0,0,0,0,0,0,0,0
Cdc37,0,0,0,0,0,0,0,0,0,1,0,0
Cdc42,0,0,0,0,0,0,0,0,0,1,0,0
Cdc42bpg,0,0,0,0,0,0,0,0,0,1,0,0
Cdc73,0,1,1,0,0,1,0,0,0,0,0,0
Cdcp1,0,0,0,0,0,0,0,0,1,1,0,0
Cdh1,2,0,1,0,0,1,1,0,0,0,0,0
Cdh3,0,0,0,0,0,0,0,1,2,0,1,0
Cdk12,0,0,0,0,0,0,1,0,0,0,0,0
Cdk16,0,1,0,0,0,0,0,0,0,0,0,0
Cdk19,0,1,0,0,0,0,0,0,0,0,0,0
Cdk4,0,1,0,0,0,0,0,0,1,0,0,0
Cdk5rap2,0,0,0,0,0,0,0,0,1,0,0,0
Cdk9,1,0,0,0,0,0,0,0,0,0,0,0
Cdkn1a,0,0,0,0,0,0,0,0,0,0,1,0
Cdon,0,0,0,0,0,0,0,0,0,1,0,0
Cdv3,0,0,0,0,0,0,0,0,1,0,0,0
Ceacam1,0,0,0,0,0,0,0,0,0,0,0,1
Cebpb,0,2,0,0,0,0,1,1,0,0,0,0
Cebpd,0,1,0,0,1,0,0,0,0,2,0,0
Cel,0,0,1,0,1,0,0,0,0,0,0,0
Celf1,0,0,0,0,0,0,0,0,1,0,0,0
Celsr1,0,0,0,0,0,0,0,0,1,0,0,0
Celsr2,0,1,0,0,0,0,0,0,0,0,0,0
Cenpj,0,1,0,0,0,0,0,0,0,0,0,0
Cep104,0,0,0,0,0,0,0,0,0,0,1,0
Cep120,0,0,1,0,0,0,0,0,0,0,0,0
Cep162,0,0,0,0,0,0,1,0,0,0,0,0
Cep170b,0,0,0,0,0,0,0,1,0,0,1,0
Cep290,0,0,0,0,0,0,0,0,0,1,0,0
Cers6,0,0,0,0,0,0,0,0,0,0,1,0
Cfap54,0,0,0,0,0,0,0,0,0,0,0,1
Cfl1,0,0,0,0,0,0,3,2,1,0,0,1
Chchd2,1,0,0,0,0,0,0,0,0,0,0,0
Chd1,1,0,0,0,0,0,0,0,0,0,0,0
Chd4,1,0,0,1,0,0,0,0,0,0,1,1
Chd6,0,1,0,1,0,0,0,0,0,0,0,0
Chd9,0,0,0,0,0,0,1,0,0,0,0,0
Chdh,0,0,0,0,0,0,0,0,0,0,0,1
Cherp,0,0,1,0,0,0,0,0,0,0,0,0
